cat,x,y
inj-p61,30624.999069750436,66624.99811968885
inj-p62,30624.999069750436,65124.99759573768
inj-p63,30624.999069750436,63624.99796485047
inj-p64,30624.999069750436,62124.998036478464
inj-p65,30874.99905786323,60874.99809591446
inj-p66,31124.999045976037,59624.99815535046
inj-p67,31624.999022201628,58374.99806604406
inj-p68,32874.99896276563,57124.998125784856
inj-p69,34124.99890332964,56374.99816144646
inj-p70,35624.999129491225,56374.99816144646
inj-p71,58874.99712908889,67124.99750064008
inj-p72,57874.99836749126,65874.99785786567
inj-p73,56874.99722449129,64624.998215091255
inj-p74,55874.99846258885,63374.997976737664
inj-p75,54874.99731958889,62124.998036478464
inj-p76,53624.99827208886,61124.99808402726
inj-p77,51874.99865308885,60624.998107801664
inj-p78,50374.99931999123,60124.99813157607
inj-p79,49124.99789108887,59624.99815535046
inj-p80,47874.99884358884,58874.99804226966
inj-p81,46624.99860554005,57874.99809012326
inj-p82,45374.99836749126,57124.998125784856
inj-p83,44124.99812944247,56374.99816144646
inj-p84,42624.99879604004,56374.99816144646
inj-p85,41124.99827208886,56374.99816144646
inj-p86,39624.99893899123,56374.99816144646
inj-p87,38124.99841504005,56374.99816144646
inj-p88,36874.99877226564,56374.99816144646
well-1,48124.99912949123,72874.99752441447
well-2,50624.998415040056,72874.99752441447
well-3,49374.99817699126,74124.99776246327
well-4,48124.99912949123,75374.99859609125
well-5,50624.998415040056,75374.99859609125
well-6,49374.99817699126,76624.99764359128
well-7,48124.99912949123,77874.9966910913
well-8,50624.998415040056,77874.9966910913
well-9,53124.99770058888,77874.9966910913
well-10,55624.99817699126,77874.9966910913
well-11,54374.99912949123,76624.99764359128
well-12,53124.99770058888,75374.99859609125
well-13,54374.99912949123,74124.99776246327
well-14,55624.99817699126,72874.99752441447
well-15,53124.99770058888,72874.99752441447
well-16,54374.99912949123,71624.99788164007
well-17,43124.99817699126,72874.99752441447
well-18,45624.99865308885,72874.99752441447
well-19,44374.998415040056,74124.99776246327
well-20,43124.99817699126,75374.99859609125
well-21,45624.99865308885,75374.99859609125
well-22,44374.998415040056,76624.99764359128
well-23,43124.99817699126,77874.9966910913
well-24,45624.99865308885,77874.9966910913
well-25,53124.99770058888,80374.99716718889
well-26,55624.99817699126,80374.99716718889
well-27,54374.99912949123,81624.9974052377
well-28,53124.99770058888,82874.99764359127
well-29,55624.99817699126,82874.99764359127
well-30,54374.99912949123,84124.99669109129
well-31,53124.99770058888,85374.99811968887
well-32,55624.99817699126,85374.99811968887
well-33,58124.99865308885,85374.99811968887
well-34,60624.99793894247,85374.99811968887
well-35,59374.99770058888,84124.99669109129
well-36,58124.99865308885,82874.99764359127
well-37,60624.99793894247,82874.99764359127
well-38,59374.99770058888,81624.9974052377
well-39,58124.99865308885,80374.99716718889
well-40,60624.99793894247,80374.99716718889
well-41,48124.99912949123,80374.99716718889
well-42,50624.998415040056,80374.99716718889
well-43,49374.99817699126,81624.9974052377
well-44,48124.99912949123,82874.99764359127
well-45,50624.998415040056,82874.99764359127
well-46,49374.99817699126,84124.99669109129
well-47,48124.99912949123,85374.99811968887
well-48,50624.998415040056,85374.99811968887
well-49,38124.99841504005,70374.99764359128
